clip_id,sura,aya,nickname,uthmani,expected_phonemes,error_code,error_category,target,instruction,has_error
103_001_t11,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,TAFKHIM_LOSS,sifa,ص in وَٱلْعَصْرِ,Keep the correct letter but read it light (muraqqaq) - no tongue raising. TARGET: ص in وَٱلْعَصْرِ. Everything else must be CORRECT.,1
103_001_t12,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,SUB_WAW_V,substitution,و at the start,Read و as English/Russian v (в) instead of w. TARGET: و at the start. Everything else must be CORRECT.,1
103_001_t13,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,SUB_WAW_V,substitution,و at the start,Read و as English/Russian v (в) instead of w. TARGET: و at the start. Everything else must be CORRECT.,1
103_001_t14,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,DEL_WORD,structural,drop the وَ and start at ٱلْعَصْرِ,Skip a word entirely. TARGET: drop the وَ and start at ٱلْعَصْرِ. Everything else must be CORRECT.,1
103_001_t15,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,INS_WORD,structural,say وَٱلْعَصْرِ ٱلْعَصْرِ,Repeat a word (stutter it twice). TARGET: say وَٱلْعَصْرِ ٱلْعَصْرِ. Everything else must be CORRECT.,1
112_002_t01,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 1 of 5).,0
112_002_t02,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 2 of 5).,0
112_002_t03,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 3 of 5).,0
112_002_t04,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 4 of 5).,0
112_002_t05,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 5 of 5).,0
112_002_t06,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,SUB_SAD_SEEN,substitution,ص in ٱلصَّمَدُ,Read ص as plain س (Russian с) - lose the emphasis entirely. TARGET: ص in ٱلصَّمَدُ. Everything else must be CORRECT.,1
112_002_t07,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,SUB_SAD_SEEN,substitution,ص in ٱلصَّمَدُ,Read ص as plain س (Russian с) - lose the emphasis entirely. TARGET: ص in ٱلصَّمَدُ. Everything else must be CORRECT.,1
112_002_t08,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,SUB_SAD_SEEN,substitution,ص in ٱلصَّمَدُ,Read ص as plain س (Russian с) - lose the emphasis entirely. TARGET: ص in ٱلصَّمَدُ. Everything else must be CORRECT.,1
112_002_t09,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,TAFKHIM_LOSS,sifa,ص in ٱلصَّمَدُ,Keep the correct letter but read it light (muraqqaq) - no tongue raising. TARGET: ص in ٱلصَّمَدُ. Everything else must be CORRECT.,1
112_002_t10,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,TAFKHIM_LOSS,sifa,ص in ٱلصَّمَدُ,Keep the correct letter but read it light (muraqqaq) - no tongue raising. TARGET: ص in ٱلصَّمَدُ. Everything else must be CORRECT.,1
112_002_t11,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,TAFKHIM_LOSS,sifa,ص in ٱلصَّمَدُ,Keep the correct letter but read it light (muraqqaq) - no tongue raising. TARGET: ص in ٱلصَّمَدُ. Everything else must be CORRECT.,1
112_002_t12,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,QALQALA_DROP,sifa,final د of ٱلصَّمَدْ (stopping),End the letter softly with no bounce - no qalqalah. TARGET: final د of ٱلصَّمَدْ (stopping). Everything else must be CORRECT.,1
112_002_t13,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,QALQALA_DROP,sifa,final د of ٱلصَّمَدْ (stopping),End the letter softly with no bounce - no qalqalah. TARGET: final د of ٱلصَّمَدْ (stopping). Everything else must be CORRECT.,1
112_002_t14,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,QALQALA_DROP,sifa,final د of ٱلصَّمَدْ (stopping),End the letter softly with no bounce - no qalqalah. TARGET: final د of ٱلصَّمَدْ (stopping). Everything else must be CORRECT.,1
112_002_t15,112,2,al-Ikhlas 2,ٱللَّهُ ٱلصَّمَدُ,ءَللَااهُصصَمَدڇ,DEL_WORD,structural,"drop ٱللَّهُ, say only ٱلصَّمَدُ","Skip a word entirely. TARGET: drop ٱللَّهُ, say only ٱلصَّمَدُ. Everything else must be CORRECT.",1
112_003_t01,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 1 of 5).,0
112_003_t02,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 2 of 5).,0
112_003_t03,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 3 of 5).,0
112_003_t04,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 4 of 5).,0
112_003_t05,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 5 of 5).,0
112_003_t06,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,QALQALA_DROP,sifa,the د of يَلِدْ and/or يُولَدْ,End the letter softly with no bounce - no qalqalah. TARGET: the د of يَلِدْ and/or يُولَدْ. Everything else must be CORRECT.,1
112_003_t07,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,QALQALA_DROP,sifa,the د of يَلِدْ and/or يُولَدْ,End the letter softly with no bounce - no qalqalah. TARGET: the د of يَلِدْ and/or يُولَدْ. Everything else must be CORRECT.,1
112_003_t08,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,QALQALA_DROP,sifa,the د of يَلِدْ and/or يُولَدْ,End the letter softly with no bounce - no qalqalah. TARGET: the د of يَلِدْ and/or يُولَدْ. Everything else must be CORRECT.,1
112_003_t09,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,QALQALA_DROP,sifa,the د of يَلِدْ and/or يُولَدْ,End the letter softly with no bounce - no qalqalah. TARGET: the د of يَلِدْ and/or يُولَدْ. Everything else must be CORRECT.,1
112_003_t10,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,MADD_SHORT,duration,the وو madd in يُولَدْ,Hold the madd only 2 counts instead of 4. TARGET: the وو madd in يُولَدْ. Everything else must be CORRECT.,1
112_003_t11,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,MADD_SHORT,duration,the وو madd in يُولَدْ,Hold the madd only 2 counts instead of 4. TARGET: the وو madd in يُولَدْ. Everything else must be CORRECT.,1
112_003_t12,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,MADD_LONG,duration,the وو madd in يُولَدْ,Over-stretch the madd to ~6 counts instead of 4. TARGET: the وو madd in يُولَدْ. Everything else must be CORRECT.,1
112_003_t13,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,MADD_LONG,duration,the وو madd in يُولَدْ,Over-stretch the madd to ~6 counts instead of 4. TARGET: the وو madd in يُولَدْ. Everything else must be CORRECT.,1
112_003_t14,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,DEL_WORD,structural,skip وَلَمْ,Skip a word entirely. TARGET: skip وَلَمْ. Everything else must be CORRECT.,1
112_003_t15,112,3,al-Ikhlas 3,لَمْ يَلِدْ وَلَمْ يُولَدْ,لَميَلِدڇوَلَميُۥۥلَدڇ,INS_WORD,structural,repeat لَمْ twice,Repeat a word (stutter it twice). TARGET: repeat لَمْ twice. Everything else must be CORRECT.,1
113_001_t01,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 1 of 5).,0
113_001_t02,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 2 of 5).,0
113_001_t03,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 3 of 5).,0
113_001_t04,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 4 of 5).,0
113_001_t05,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 5 of 5).,0
113_001_t06,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,SUB_QAF_KAF,substitution,ق of قُلْ and/or ٱلْفَلَقِ,Read ق as ك (Russian к). TARGET: ق of قُلْ and/or ٱلْفَلَقِ. Everything else must be CORRECT.,1
113_001_t07,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,SUB_QAF_KAF,substitution,ق of قُلْ and/or ٱلْفَلَقِ,Read ق as ك (Russian к). TARGET: ق of قُلْ and/or ٱلْفَلَقِ. Everything else must be CORRECT.,1
113_001_t08,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,SUB_QAF_KAF,substitution,ق of قُلْ and/or ٱلْفَلَقِ,Read ق as ك (Russian к). TARGET: ق of قُلْ and/or ٱلْفَلَقِ. Everything else must be CORRECT.,1
113_001_t09,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,SUB_AYN_HAMZA,substitution,ع in أَعُوذُ,Read ع as a plain hamza ء (the classic Slavic/Turkic collapse). TARGET: ع in أَعُوذُ. Everything else must be CORRECT.,1
113_001_t10,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,SUB_AYN_HAMZA,substitution,ع in أَعُوذُ,Read ع as a plain hamza ء (the classic Slavic/Turkic collapse). TARGET: ع in أَعُوذُ. Everything else must be CORRECT.,1
113_001_t11,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,SUB_DHAL_ZAY,substitution,ذ in أَعُوذُ,Read ذ as ز (Russian з). TARGET: ذ in أَعُوذُ. Everything else must be CORRECT.,1
113_001_t12,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,SUB_DHAL_ZAY,substitution,ذ in أَعُوذُ,Read ذ as ز (Russian з). TARGET: ذ in أَعُوذُ. Everything else must be CORRECT.,1
113_001_t13,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,QALQALA_DROP,sifa,final ق of ٱلْفَلَقْ (stopping),End the letter softly with no bounce - no qalqalah. TARGET: final ق of ٱلْفَلَقْ (stopping). Everything else must be CORRECT.,1
113_001_t14,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,QALQALA_DROP,sifa,final ق of ٱلْفَلَقْ (stopping),End the letter softly with no bounce - no qalqalah. TARGET: final ق of ٱلْفَلَقْ (stopping). Everything else must be CORRECT.,1
113_001_t15,113,1,al-Falaq 1,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,قُلءَعُۥۥذُبِرَببِلفَلَقڇ,MADD_SHORT,duration,the وو madd in أَعُوذُ,Hold the madd only 2 counts instead of 4. TARGET: the وو madd in أَعُوذُ. Everything else must be CORRECT.,1
114_001_t01,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 1 of 5).,0
114_001_t02,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 2 of 5).,0
114_001_t03,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 3 of 5).,0
114_001_t04,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 4 of 5).,0
114_001_t05,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 5 of 5).,0
114_001_t06,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,GHONNA_DROP,sifa,the doubled نّ in ٱلنَّاسِ,"Doubled nun/mim with NO nasal hum - clip it short, no ghunnah. TARGET: the doubled نّ in ٱلنَّاسِ. Everything else must be CORRECT.",1
114_001_t07,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,GHONNA_DROP,sifa,the doubled نّ in ٱلنَّاسِ,"Doubled nun/mim with NO nasal hum - clip it short, no ghunnah. TARGET: the doubled نّ in ٱلنَّاسِ. Everything else must be CORRECT.",1
114_001_t08,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,GHONNA_DROP,sifa,the doubled نّ in ٱلنَّاسِ,"Doubled nun/mim with NO nasal hum - clip it short, no ghunnah. TARGET: the doubled نّ in ٱلنَّاسِ. Everything else must be CORRECT.",1
114_001_t09,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,GHONNA_DROP,sifa,the doubled نّ in ٱلنَّاسِ,"Doubled nun/mim with NO nasal hum - clip it short, no ghunnah. TARGET: the doubled نّ in ٱلنَّاسِ. Everything else must be CORRECT.",1
114_001_t10,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,MADD_SHORT,duration,the ا madd in ٱلنَّاسِ (stopping),Hold the madd only 2 counts instead of 4. TARGET: the ا madd in ٱلنَّاسِ (stopping). Everything else must be CORRECT.,1
114_001_t11,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,MADD_SHORT,duration,the ا madd in ٱلنَّاسِ (stopping),Hold the madd only 2 counts instead of 4. TARGET: the ا madd in ٱلنَّاسِ (stopping). Everything else must be CORRECT.,1
114_001_t12,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,SUB_AYN_HAMZA,substitution,ع in أَعُوذُ,Read ع as a plain hamza ء (the classic Slavic/Turkic collapse). TARGET: ع in أَعُوذُ. Everything else must be CORRECT.,1
114_001_t13,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,SUB_AYN_HAMZA,substitution,ع in أَعُوذُ,Read ع as a plain hamza ء (the classic Slavic/Turkic collapse). TARGET: ع in أَعُوذُ. Everything else must be CORRECT.,1
114_001_t14,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,SUB_DHAL_ZAY,substitution,ذ in أَعُوذُ,Read ذ as ز (Russian з). TARGET: ذ in أَعُوذُ. Everything else must be CORRECT.,1
114_001_t15,114,1,an-Nas 1,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,قُلءَعُۥۥذُبِرَببِننننَااااس,SUB_QAF_KAF,substitution,ق of قُلْ,Read ق as ك (Russian к). TARGET: ق of قُلْ. Everything else must be CORRECT.,1
108_003_t01,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 1 of 5).,0
108_003_t02,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 2 of 5).,0
108_003_t03,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 3 of 5).,0
108_003_t04,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 4 of 5).,0
108_003_t05,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 5 of 5).,0
108_003_t06,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,GHONNA_DROP,sifa,the doubled نّ in إِنَّ,"Doubled nun/mim with NO nasal hum - clip it short, no ghunnah. TARGET: the doubled نّ in إِنَّ. Everything else must be CORRECT.",1
108_003_t07,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,GHONNA_DROP,sifa,the doubled نّ in إِنَّ,"Doubled nun/mim with NO nasal hum - clip it short, no ghunnah. TARGET: the doubled نّ in إِنَّ. Everything else must be CORRECT.",1
108_003_t08,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,GHONNA_DROP,sifa,the doubled نّ in إِنَّ,"Doubled nun/mim with NO nasal hum - clip it short, no ghunnah. TARGET: the doubled نّ in إِنَّ. Everything else must be CORRECT.",1
108_003_t09,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,GHONNA_DROP,sifa,the doubled نّ in إِنَّ,"Doubled nun/mim with NO nasal hum - clip it short, no ghunnah. TARGET: the doubled نّ in إِنَّ. Everything else must be CORRECT.",1
108_003_t10,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,QALQALA_DROP,sifa,the ب in ٱلْأَبْتَرُ,End the letter softly with no bounce - no qalqalah. TARGET: the ب in ٱلْأَبْتَرُ. Everything else must be CORRECT.,1
108_003_t11,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,QALQALA_DROP,sifa,the ب in ٱلْأَبْتَرُ,End the letter softly with no bounce - no qalqalah. TARGET: the ب in ٱلْأَبْتَرُ. Everything else must be CORRECT.,1
108_003_t12,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,QALQALA_DROP,sifa,the ب in ٱلْأَبْتَرُ,End the letter softly with no bounce - no qalqalah. TARGET: the ب in ٱلْأَبْتَرُ. Everything else must be CORRECT.,1
108_003_t13,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,MADD_SHORT,duration,the ا madd in شَانِئَكَ,Hold the madd only 2 counts instead of 4. TARGET: the ا madd in شَانِئَكَ. Everything else must be CORRECT.,1
108_003_t14,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,DEL_WORD,structural,skip هُوَ,Skip a word entirely. TARGET: skip هُوَ. Everything else must be CORRECT.,1
108_003_t15,108,3,al-Kawthar 3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,ءِننننَشَاانِءَكَهُوَلءَبڇتَر,INS_WORD,structural,repeat إِنَّ twice,Repeat a word (stutter it twice). TARGET: repeat إِنَّ twice. Everything else must be CORRECT.,1
108_001_t01,108,1,al-Kawthar 1,إِنَّآ أَعْطَيْنَـٰكَ ٱلْكَوْثَرَ,ءِننننَااااءَعطَينَااكَلكَوثَر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 1 of 5).,0
108_001_t02,108,1,al-Kawthar 1,إِنَّآ أَعْطَيْنَـٰكَ ٱلْكَوْثَرَ,ءِننننَااااءَعطَينَااكَلكَوثَر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 2 of 5).,0
108_001_t03,108,1,al-Kawthar 1,إِنَّآ أَعْطَيْنَـٰكَ ٱلْكَوْثَرَ,ءِننننَااااءَعطَينَااكَلكَوثَر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 3 of 5).,0
108_001_t04,108,1,al-Kawthar 1,إِنَّآ أَعْطَيْنَـٰكَ ٱلْكَوْثَرَ,ءِننننَااااءَعطَينَااكَلكَوثَر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 4 of 5).,0
108_001_t05,108,1,al-Kawthar 1,إِنَّآ أَعْطَيْنَـٰكَ ٱلْكَوْثَرَ,ءِننننَااااءَعطَينَااكَلكَوثَر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 5 of 5).,0
